Site,Pop.size,Slope,X_wgs84,Y_wgs84
B06-01,1.44627746803977,-0.0802815911627413,121.484144,24.633295
B10-01,3.85714285714286,-0.499999999999999,121.434738,24.710478
B10-02,1,-0.142857142857143,121.442989,24.732384
B11-01,3.57142857142857,-0.571428571428572,121.361881,24.40641
B13-01,0.778177993628612,-0.526375154374182,121.081929,24.501797
B13-03,6,-0.0714285714285708,121.126264,24.502507
B14-01,11.7142857142857,0.392857142857142,121.336976,24.369557
B14-03,22.8571428571429,-7.28571428571428,121.310607,24.356955
B14-04,13.5714285714286,2.96428571428571,121.305444,24.406832
B16-01,5.13482051279188,-0.970313186834664,121.391663,24.179995
B16-02,15.819767611743,-4.06374571976417,121.341854,24.185252
B21-01,7.30892610909173,1.13810091546308,120.988019,23.243328
B28-01,47.8571428571429,0.535714285714291,120.931283,24.245611
B30-01,8.71428571428571,1.46428571428571,121.170147,24.082371
B30-02,0.857142857142857,2.09812430212579e-16,121.131548,23.979671
B30-04,7.57142857142857,0.392857142857143,121.193975,24.107363
B32-01,7.28571428571429,0.571428571428572,120.892392,23.513378
B32-03,8.21762519478769,-2.31829912268145,120.908056,23.518129
B32-04,7.97906404834816,-2.00922445531668,120.899614,23.532888
B37-02,12,-0.107142857142856,120.873596,23.476937
B38-01,0.285714285714286,-0.142857142857143,120.6918,22.963206
C37-05,16.5629698130061,4.93068611817705,120.887295,23.484713
B10-03,0.668553536674268,-0.126906599160308,121.298069,24.682606
B13-04,1.26741014086361,-0.303794135382841,121.018491,24.433053
B14-02,6.66328255219869,1.14539522870813,121.303878,24.382999
B32-02,6.64582166325259,1.37277660970341,120.91098,23.538575
B32-10,14.6418414569108,-0.453431100713508,120.800487,23.67153
B32-11,7.5043409223814,1.37174430821395,120.805031,23.661801
C14-04,11.1830809954218,3.04542892286286,121.30289,24.21189
C37-01,1.16043235086976,-0.110087174888117,120.916782,23.47143
C37-04,7.75935970661561,0.836210704734462,120.898413,23.475979
B10-13,1.64066374585236,-0.257453631654994,121.294207,24.55669
B10-14,1.72830441238448,-0.164829569681953,121.292921,24.543023
B13-02,5.97649838896323,2.16644574902026,121.103684,24.498009
B28-06,0.888214591516435,-0.124873090273957,120.979594,24.254727
B29-02,8.69785057518294,1.54621435647982,121.2144,24.162514
B30-07,6.98690420281889,1.84758050954585,121.163216,24.030504
C16-01,4.6841612431867,1.98333002119064,121.313062,24.188565
C28-01,2.59946596762611,-0.115373425078194,121.026134,24.288928
C30-03,3.49038381882941,1.47939777637808,121.23586,24.117318
B35-01,5.17770199229738,0.661550418991158,120.68643,23.47753
B06-06,5.13856792599114,1.1968749105954,121.430338,24.603348
B06-07,1.7322767779599,0.601706490180262,121.412689,24.584907
B38-07,3.63718577418004,1.29825823925582,120.773418,23.0789
B38-08,0.961520457668559,0.403184336718889,120.72467,23.051731
